ID	S1	S2	S3
1497-RMM-1444	25.7353089275	13.8388847287	23.2861190211
1497-RMM-1445	23.3784898563	15.5316747746	22.6756188143
1497-RMM-1446RR	22.0060833173	14.4572665498	25.373904184
1497-RMM-1447	24.7367094148	14.183441047	23.2312783756
1497-RMM-1448	23.5429388508	14.7221674508	23.2944520284
1497-RMM-1449	26.5175172761	15.4209784521	21.2468515374
1497-RMM-1450	22.4581453461	14.1515443118	25.5989639772
1497-RMM-1451	23.5645775622	14.1164783371	24.0264080246
1497-RMM-1452	26.5117181934	12.0495612146	22.7067043639
1497-RMM-1453	28.2734641514	11.7179034394	21.6988232824
1497-RMM-1454	26.0914932341	14.298760174	21.9473817259
1497-RMM-1455	20.8122472322	14.4736642025	26.5712411626
1497-RMM-1456	22.8812385155	15.0915775046	23.3274168429
1497-RMM-1457	22.7048914034	16.5967983658	23.2624997234
1497-RMM-1458	23.453669569	12.2805864026	25.2604345162
1497-RMM-1459	25.816451259	14.4292450758	21.091122069
1497-RMM-1460	25.1678188703	13.3382014678	22.460345551
1497-RMM-1461	21.3838304123	15.2495545881	25.663236565
1497-RMM-1462	24.0044235816	13.968686224	24.3602670978
1497-RMM-1463	25.761098161	13.462616436	22.6644565321
1497-RMM-1464	24.2410453667	13.6247558573	24.3910920162
1497-RMM-1465	25.0289013358	10.7787844638	24.8572517615
1497-RMM-1466	26.6752519232	15.1046505271	20.9917433642
1497-RMM-1467	17.6720685037	16.0373406147	28.958707876
1497-RMM-1468	22.5242267984	16.8580170044	22.9667225539
1497-RMM-1469	27.3892458642	14.7771030174	19.3044216265
1497-RMM-1470	21.0049916983	15.6483731777	25.7531219725
1497-RMM-1471	28.0628274046	13.3885918951	19.9277059012
1497-RMM-1472	23.2253562435	15.8119043225	22.4581486309
1497-RMM-1473	28.0191773243	13.2290179763	20.2046946275
1497-RMM-1474	15.7487751606	17.2562555943	29.9213514572
1497-RMM-1475	23.9447659493	13.4593844793	24.8760822763
